,Policy,S,N,CD,TCR,Energy
0,local_cont,False,False,2.26,100.0,113.48
1,local_cont,False,True,2.31,97.14,113.48
2,local_cont,True,False,3.46,100.0,113.48
3,local_cont,True,True,3.64,100.0,113.48
4,Shield2_early,False,False,2.3,100.0,89.95
5,Shield2_early,False,True,2.32,100.0,89.0
6,Shield2_early,True,False,3.47,100.0,81.56
7,Shield2_early,True,True,3.58,100.0,81.89
8,Shield2_belay,False,False,2.29,100.0,63.47
9,Shield2_belay,False,True,2.26,97.14,63.05
10,Shield2_belay,True,False,3.53,100.0,44.52
11,Shield2_belay,True,True,3.63,100.0,45.65
