Wall time,Step,Value
1589827602.8286254,5,1.0
1589827777.9014208,18,1.0
1589827862.0849726,24,1.0
1589828189.6036007,40,1.0
1589828216.237115,42,1.0
1589828293.1549454,45,1.0
1589828502.6798527,53,1.0
1589828592.6347957,56,1.0
1589829059.9745786,71,1.0
1589829168.8406882,74,1.0
1589829882.6228378,94,1.0
1589830094.3722534,102,0.0
1589830213.1079938,105,0.0
1589830260.7785535,106,0.0
1589830482.3010683,113,0.0
1589830986.507054,126,0.0
1589831423.2736,139,1.0
1589831836.02025,150,0.0
1589832037.3364668,155,1.0
1589832113.6319234,158,1.0
1589832377.379034,167,0.0
1589832749.395908,178,0.0
1589832844.9884062,183,1.0
1589832901.4384487,185,0.0
1589832945.2708616,186,0.0
1589833088.8925343,190,0.0
1589833318.8505147,198,1.0
1589833613.071268,206,0.0
1589833653.375026,207,0.0
1589833838.95279,212,1.0
1589834191.9166293,223,1.0
1589834409.2040904,229,0.0
1589834600.5147774,234,0.0
1589835217.78263,249,0.0
1589835446.1856816,255,0.0
1589835605.3191388,260,0.0
1589835843.5387034,267,1.0
1589836023.6811829,271,0.0
1589836104.6878004,273,0.0
1589836770.9762297,292,1.0
1589836937.7942877,297,0.0
1589836980.4806895,298,0.0
1589837189.2278194,303,0.0
1589837400.7968478,308,0.0
1589837482.6228833,310,0.0
1589837824.1858494,318,0.0
1589837860.5087438,319,0.0
1589838326.513405,330,0.0
1589838681.047339,339,0.0
1589839020.1671057,347,1.0
1589839628.8931296,363,0.0
1589839790.1218212,367,0.0
1589840171.1962073,377,0.0
1589841829.8960016,421,1.0
1589841874.8764992,422,0.0
1589842149.834233,430,0.0
1589842532.443257,439,0.0
1589842621.0372758,441,0.0
1589842661.5557277,442,0.0
1589842780.8635995,445,0.0
1589842990.5679944,451,0.0
1589843250.4346232,460,0.0
1589843375.76073,463,0.0
1589843419.3574038,464,0.0
1589843848.9391775,474,1.0
1589844449.6741905,491,0.0
1589844512.314799,493,0.0
1589845418.6702542,512,0.0
1589845517.488015,514,0.0
1589845655.9316216,517,0.0
1589846005.155789,525,0.0
1589846268.1476896,531,0.0
1589846330.6861591,533,0.0
1589846409.4817035,536,1.0
1589846660.9349902,542,0.0
1589846905.7668793,547,0.0
1589847343.2312398,557,0.0
1589847569.3231184,563,0.0
1589847836.8116417,569,0.0
1589848037.701353,573,0.0
1589848338.5517857,579,0.0
1589848422.4898784,581,0.0
1589848568.6668398,584,0.0
1589848669.144133,586,0.0
1589848714.8957114,587,0.0
1589848954.3156433,592,0.0
1589849004.3323393,593,0.0
1589849384.3750124,602,0.0
1589849954.2278633,615,1.0
1589850171.1317434,620,1.0
1589850239.8283286,622,0.0
1589850793.9244373,634,0.0
1589851103.184782,641,1.0
1589851148.4015563,642,0.0
1589851204.3132548,644,0.0
1589851356.3243277,647,0.0
1589851452.3164647,649,0.0
1589852014.151169,661,0.0
1589852146.8888867,664,0.0
1589852349.9009671,668,0.0
1589852475.5497477,671,1.0
1589852628.5201943,674,0.0
1589852806.8158426,678,0.0
1589852858.7353103,679,0.0
1589853043.269914,683,0.0
1589853220.2775605,688,0.0
1589854146.1311052,706,1.0
1589854523.8840573,714,0.0
1589854723.7165163,718,0.0
1589854917.6615148,722,0.0
1589854970.4275508,723,0.0
1589855291.3524508,730,0.0
1589855690.7947605,739,0.0
1589855849.808783,743,0.0
1589856008.4685411,747,0.0
1589856213.0472233,752,1.0
1589856371.6456118,756,1.0
1589856789.9603531,765,0.0
1589856968.3822622,769,0.0
1589856978.3520837,770,1.0
1589857026.928901,771,0.0
1589857118.2899742,773,0.0
1589857162.352718,774,0.0
1589857458.173123,780,0.0
1589857639.974386,784,0.0
1589857669.6073525,785,1.0
1589857761.852795,787,0.0
1589858007.3317432,792,0.0
1589858055.5441787,793,0.0
1589858105.74288,794,0.0
1589858308.2383935,798,0.0
1589858511.6802094,802,0.0
1589858779.059395,807,0.0
1589858825.1375124,808,0.0
1589858874.067033,809,0.0
1589859970.4224727,832,0.0
1589860245.585415,836,0.0
1589860329.1851032,838,1.0
1589860663.1795397,843,0.0
1589861960.3731282,869,0.0
1589862192.253134,874,0.0
1589862283.9483461,876,0.0
1589862579.448171,882,0.0
1589863013.458231,890,0.0
1589863296.245246,896,0.0
1589863508.7740223,900,0.0
1589863861.9866755,907,0.0
1589863975.504577,909,0.0
1589864252.3515131,915,0.0
1589864355.375965,917,0.0
1589864494.5321043,920,0.0
1589864595.1758163,923,1.0
1589865021.7996294,931,0.0
1589865080.0540414,932,0.0
1589865243.3315587,935,0.0
1589865579.4110422,942,0.0
1589865719.9372263,945,0.0
1589866141.7200987,954,0.0
1589866348.0325046,958,0.0
1589866497.9573655,961,0.0
1589866541.7824118,962,0.0
1589866964.0326295,971,0.0
1589867011.431093,972,0.0
1589867202.96799,976,0.0
1589867297.8554807,978,0.0
1589867339.5940561,979,0.0
1589867566.07872,984,0.0
1589867707.5191393,987,0.0
1589867763.9960604,988,0.0
1589868075.894488,996,0.0
1589868268.121397,1000,0.0
1589868360.899002,1002,0.0
1589868484.9816399,1005,0.0
1589868960.3970802,1014,0.0
1589869102.1520312,1017,0.0
1589869488.5395515,1025,0.0
1589870085.6339602,1037,0.0
1589870419.0860624,1044,0.0
1589871178.481539,1057,0.0
1589871499.6633751,1063,0.0
1589871649.012863,1066,0.0
1589871753.1387763,1068,0.0
1589871970.0609682,1072,0.0
1589872168.7840607,1076,0.0
1589872238.6524656,1078,1.0
1589872508.8172226,1083,0.0
1589872554.924768,1084,0.0
1589873012.0076923,1093,0.0
1589873369.2055588,1099,0.0
1589873569.796602,1103,0.0
1589873635.8832004,1104,0.0
1589874138.6382172,1114,0.0
1589874439.4782631,1119,0.0
1589875124.7865686,1133,0.0
1589876202.3760827,1155,0.0
1589876260.611691,1156,0.0
1589876474.5552375,1160,0.0
1589876531.3563101,1161,0.0
1589876591.973076,1162,0.0
1589877443.6154108,1180,0.0
1589878029.3605878,1192,0.0
1589878082.5040956,1193,0.0
1589878401.2193718,1199,0.0
1589878505.7598855,1201,0.0
1589878786.0971267,1206,0.0
1589879993.7629087,1232,0.0
1589880100.6142538,1234,0.0
1589880584.608001,1244,0.0
1589881209.5243268,1255,0.0
1589881363.6715603,1258,0.0
1589881516.4542284,1261,0.0
1589882406.5830674,1281,0.0
1589882748.7356384,1287,0.0
1589883101.0850592,1294,0.0
1589883398.7677095,1300,0.0
1589883846.171445,1310,0.0
1589884061.408172,1315,0.0
1589884108.5626929,1316,0.0
1589884259.1707053,1319,0.0
1589884643.7161186,1327,0.0
1589884760.2986705,1330,0.0
1589884894.8792324,1333,0.0
1589885036.5171497,1336,0.0
1589885093.60758,1337,0.0
1589885973.988368,1355,0.0
1589886636.213921,1370,0.0
1589887239.80945,1385,0.0
1589887367.0161498,1388,0.0
1589887408.0528297,1389,0.0
1589887492.47904,1391,0.0
1589887535.487048,1392,0.0
1589888606.959296,1414,0.0
1589888813.3843565,1419,1.0
1589888954.9110758,1422,0.0
1589889143.0772839,1426,0.0
1589889232.2074504,1428,0.0
1589889426.4652884,1432,0.0
1589889603.2575998,1436,0.0
1589889773.8632598,1440,0.0
1589890941.303927,1465,0.0
1589890988.1664639,1466,0.0
1589891475.7343934,1477,1.0
1589891850.0849767,1485,0.0
1589891891.3497634,1486,0.0
1589892015.5716472,1489,0.0
1589892104.6284208,1491,0.0
