Wall time,Step,Value
1589827602.8286254,5,10000.0
1589827777.9014208,18,10000.0
1589827862.0849726,24,10000.0
1589828189.6036007,40,10000.0
1589828216.237115,42,10000.0
1589828293.1559327,45,10000.0
1589828502.6798527,53,10000.0
1589828592.6347957,56,10000.0
1589829059.9745786,71,10000.0
1589829168.841675,74,10000.0
1589829882.6238377,94,10000.0
1589830094.3722534,102,10000.0
1589830213.1079938,105,10000.0
1589830260.779554,106,10000.0
1589830482.3010683,113,10000.0
1589830986.507054,126,10000.0
1589831423.2736,139,10000.0
1589831836.02025,150,10000.0
1589832037.3364668,155,10000.0
1589832113.6319234,158,10000.0
1589832377.379034,167,10000.0
1589832749.395908,178,10000.0
1589832844.9895213,183,10000.0
1589832901.4384487,185,10000.0
1589832945.2708616,186,10000.0
1589833088.8935347,190,10000.0
1589833318.8505147,198,10000.0
1589833613.071268,206,10000.0
1589833653.375026,207,10000.0
1589833838.95279,212,10000.0
1589834191.9166293,223,10000.0
1589834409.2040904,229,10000.0
1589834600.5147774,234,10000.0
1589835217.78263,249,10000.0
1589835446.1856816,255,10000.0
1589835605.3191388,260,10000.0
1589835843.5387034,267,10000.0
1589836023.6811829,271,10000.0
1589836104.6878004,273,10000.0
1589836770.9762297,292,10000.0
1589836937.7942877,297,10000.0
1589836980.4806895,298,10000.0
1589837189.2278194,303,10000.0
1589837400.7968478,308,10000.0
1589837482.6228833,310,10000.0
1589837824.1858494,318,10000.0
1589837860.5087438,319,10000.0
1589838326.5144057,330,10000.0
1589838681.0483403,339,10000.0
1589839020.1671057,347,10000.0
1589839628.8931296,363,10000.0
1589839790.1228082,367,10000.0
1589840171.1962073,377,10000.0
1589841829.8969893,421,10000.0
1589841874.8764992,422,10000.0
1589842149.834233,430,10000.0
1589842532.444245,439,10000.0
1589842621.0372758,441,10000.0
1589842661.5557277,442,10000.0
1589842780.8635995,445,10000.0
1589842990.5679944,451,10000.0
1589843250.4356103,460,10000.0
1589843375.76073,463,10000.0
1589843419.3574038,464,10000.0
1589843848.9401786,474,10000.0
1589844449.6741905,491,10000.0
1589844512.314799,493,10000.0
1589845418.6702542,512,10000.0
1589845517.488015,514,10000.0
1589845655.9316216,517,10000.0
1589846005.155789,525,10000.0
1589846268.1476896,531,10000.0
1589846330.6861591,533,10000.0
1589846409.482704,536,10000.0
1589846660.9349902,542,10000.0
1589846905.7668793,547,10000.0
1589847343.2312398,557,10000.0
1589847569.3231184,563,10000.0
1589847836.8116417,569,10000.0
1589848037.701353,573,10000.0
1589848338.5517857,579,10000.0
1589848422.4908793,581,10000.0
1589848568.6668398,584,10000.0
1589848669.144133,586,10000.0
1589848714.8957114,587,10000.0
1589848954.3156433,592,10000.0
1589849004.3323393,593,10000.0
1589849384.3750124,602,10000.0
1589849954.2278633,615,10000.0
1589850171.1317434,620,10000.0
1589850239.8283286,622,10000.0
1589850793.9244373,634,10000.0
1589851103.184782,641,10000.0
1589851148.4015563,642,10000.0
1589851204.3142474,644,10000.0
1589851356.3243277,647,10000.0
1589851452.3174648,649,10000.0
1589852014.1521595,661,10000.0
1589852146.8888867,664,10000.0
1589852349.9009671,668,10000.0
1589852475.5507393,671,10000.0
1589852628.5201943,674,10000.0
1589852806.8168304,678,10000.0
1589852858.7363102,679,10000.0
1589853043.269914,683,10000.0
1589853220.2775605,688,10000.0
1589854146.1311052,706,10000.0
1589854523.8840573,714,10000.0
1589854723.7165163,718,10000.0
1589854917.6615148,722,10000.0
1589854970.4275508,723,10000.0
1589855291.3524508,730,10000.0
1589855690.7947605,739,10000.0
1589855849.808783,743,10000.0
1589856008.4685411,747,10000.0
1589856213.0472233,752,10000.0
1589856371.6466124,756,10000.0
1589856789.9603531,765,10000.0
1589856968.3822622,769,10000.0
1589856978.3520837,770,10000.0
1589857026.928901,771,10000.0
1589857118.2899742,773,10000.0
1589857162.3537173,774,10000.0
1589857458.173123,780,10000.0
1589857639.974386,784,10000.0
1589857669.6073525,785,10000.0
1589857761.852795,787,10000.0
1589858007.3317432,792,10000.0
1589858055.5441787,793,10000.0
1589858105.74288,794,10000.0
1589858308.2383935,798,10000.0
1589858511.6802094,802,10000.0
1589858779.059395,807,10000.0
1589858825.1375124,808,10000.0
1589858874.067033,809,10000.0
1589859970.4224727,832,10000.0
1589860245.585415,836,10000.0
1589860329.1851032,838,10000.0
1589860663.1795397,843,10000.0
1589861960.3731282,869,10000.0
1589862192.253134,874,10000.0
1589862283.9483461,876,10000.0
1589862579.448171,882,10000.0
1589863013.458231,890,10000.0
1589863296.245246,896,10000.0
1589863508.7740223,900,10000.0
1589863861.9866755,907,10000.0
1589863975.504577,909,10000.0
1589864252.3515131,915,10000.0
1589864355.375965,917,10000.0
1589864494.5321043,920,10000.0
1589864595.1758163,923,10000.0
1589865021.7996294,931,10000.0
1589865080.0540414,932,10000.0
1589865243.3315587,935,10000.0
1589865579.4110422,942,10000.0
1589865719.9372263,945,10000.0
1589866141.7200987,954,10000.0
1589866348.0325046,958,10000.0
1589866497.9573655,961,10000.0
1589866541.7824118,962,10000.0
1589866964.0326295,971,10000.0
1589867011.431093,972,10000.0
1589867202.96799,976,10000.0
1589867297.856481,978,10000.0
1589867339.5940561,979,10000.0
1589867566.07872,984,10000.0
1589867707.5191393,987,10000.0
1589867763.9960604,988,10000.0
1589868075.894488,996,10000.0
1589868268.121397,1000,10000.0
1589868360.899002,1002,10000.0
1589868484.9826276,1005,10000.0
1589868960.3970802,1014,10000.0
1589869102.1520312,1017,10000.0
1589869488.5395515,1025,10000.0
1589870085.6339602,1037,10000.0
1589870419.0870628,1044,10000.0
1589871178.481539,1057,10000.0
1589871499.6643753,1063,10000.0
