Wall time,Step,Value
1589827602.8286254,5,1273.5638427734375
1589827777.9014208,18,1674.6168212890625
1589827862.0849726,24,1281.744384765625
1589828189.6036007,40,1360.953369140625
1589828216.2361152,42,2489.916748046875
1589828293.1549454,45,3598.412109375
1589828502.6798527,53,1020.7430419921875
1589828592.6347957,56,3869.453125
1589829059.9745786,71,1122.673828125
1589829168.8406882,74,3810.19189453125
1589829882.6228378,94,2701.517333984375
1589830094.3722534,102,6324.9140625
1589830213.1079938,105,5932.626953125
1589830260.7785535,106,8270.0869140625
1589830482.3010683,113,6394.90478515625
1589830986.507054,126,8249.775390625
1589831423.2736,139,4610.64501953125
1589831836.02025,150,7207.822265625
1589832037.3364668,155,4064.316650390625
1589832113.6309235,158,2206.82275390625
1589832377.379034,167,7196.95263671875
1589832749.395908,178,7622.36572265625
1589832844.9884062,183,1408.547607421875
1589832901.4384487,185,7853.310546875
1589832945.2708616,186,8164.083984375
1589833088.8925343,190,8571.99609375
1589833318.8505147,198,4667.18896484375
1589833613.071268,206,7873.20361328125
1589833653.3740387,207,7269.4140625
1589833838.95279,212,3436.86572265625
1589834191.9166293,223,2177.106201171875
1589834409.2040904,229,7654.22021484375
1589834600.5137775,234,6734.97705078125
1589835217.78263,249,8607.4521484375
1589835446.1848428,255,7728.67138671875
1589835605.3191388,260,7938.681640625
1589835843.5387034,267,6310.82666015625
1589836023.6811829,271,7588.3466796875
1589836104.686813,273,7868.27197265625
1589836770.9762297,292,2734.265869140625
1589836937.7942877,297,8334.7998046875
1589836980.4806895,298,7281.8095703125
1589837189.2268074,303,7421.55810546875
1589837400.7968478,308,8540.21484375
1589837482.6228833,310,7872.14501953125
1589837824.1858494,318,8202.8603515625
1589837860.5087438,319,6698.87109375
1589838326.513405,330,7555.8125
1589838681.047339,339,7941.16259765625
1589839020.1661057,347,2788.41455078125
1589839628.8931296,363,9033.515625
1589839790.1218212,367,7035.51025390625
1589840171.1962073,377,6677.447265625
1589841829.8960016,421,5586.93310546875
1589841874.8764992,422,8272.5927734375
1589842149.8332422,430,7519.9716796875
1589842532.443257,439,8250.9931640625
1589842621.0372758,441,7048.193359375
1589842661.5557277,442,7306.84326171875
1589842780.8635995,445,7238.88720703125
1589842990.5679944,451,6732.50244140625
1589843250.4346232,460,8133.83251953125
1589843375.759742,463,7572.71240234375
1589843419.3564029,464,8017.47998046875
1589843848.9391775,474,7672.63623046875
1589844449.6741905,491,8549.9306640625
1589844512.314799,493,7859.345703125
1589845418.6702542,512,9825.4150390625
1589845517.4870281,514,8608.337890625
1589845655.9316216,517,7921.96240234375
1589846005.155789,525,8334.6845703125
1589846268.1476896,531,6222.7392578125
1589846330.6851723,533,7089.37646484375
1589846409.4817035,536,3088.6943359375
1589846660.9349902,542,7951.2763671875
1589846905.7668793,547,7028.00390625
1589847343.2312398,557,8006.73095703125
1589847569.3231184,563,7732.29736328125
1589847836.8116417,569,8777.99609375
1589848037.701353,573,9848.55859375
1589848338.5517857,579,7855.177734375
1589848422.4898784,581,7184.91064453125
1589848568.6658397,584,7174.57470703125
1589848669.144133,586,8074.5087890625
1589848714.8957114,587,7140.0830078125
1589848954.3156433,592,6983.10888671875
1589849004.3323393,593,8289.08984375
1589849384.3750124,602,8631.845703125
1589849954.2268631,615,2658.658203125
1589850171.1317434,620,5410.85205078125
1589850239.8273413,622,6593.08056640625
1589850793.9244373,634,8301.259765625
1589851103.184782,641,7077.9833984375
1589851148.4015563,642,7635.57421875
1589851204.3132548,644,7810.986328125
1589851356.3243277,647,8167.84619140625
1589851452.3164647,649,7723.7529296875
1589852014.151169,661,7406.75244140625
1589852146.8888867,664,7574.0703125
1589852349.89998,668,8196.048828125
1589852475.5497477,671,3425.28857421875
1589852628.5201943,674,9039.212890625
1589852806.8158426,678,8591.2099609375
1589852858.7353103,679,8939.642578125
1589853043.269914,683,8551.4287109375
1589853220.276547,688,8731.1630859375
1589854146.1311052,706,5647.20068359375
1589854523.8840573,714,8437.8115234375
1589854723.7155156,718,7832.28369140625
1589854917.6615148,722,8940.8798828125
1589854970.4275508,723,8535.525390625
1589855291.3514507,730,8515.0927734375
1589855690.793958,739,8034.302734375
1589855849.8077831,743,8929.6328125
1589856008.4675407,747,5634.0
1589856213.0462363,752,5908.34765625
1589856371.6456118,756,1878.1475830078125
1589856789.9603531,765,7900.1826171875
1589856968.3822622,769,8549.18359375
1589856978.3520837,770,1096.976806640625
1589857026.928901,771,6918.623046875
1589857118.2899742,773,8279.4541015625
1589857162.352718,774,8396.568359375
1589857458.173123,780,9159.3876953125
1589857639.974386,784,6080.845703125
1589857669.6073525,785,4416.46044921875
1589857761.852795,787,7119.73291015625
1589858007.3317432,792,8643.548828125
1589858055.5441787,793,7707.708984375
1589858105.74288,794,8237.24609375
1589858308.2383935,798,7943.8154296875
1589858511.6802094,802,8921.103515625
1589858779.059395,807,8560.6376953125
1589858825.1375124,808,8587.0009765625
1589858874.067033,809,8591.822265625
1589859970.4214725,832,14072.8037109375
1589860245.585415,836,11223.771484375
1589860329.1841152,838,1813.1005859375
1589860663.1795397,843,11640.7373046875
1589861960.3731282,869,8521.580078125
1589862192.253134,874,7409.2490234375
1589862283.9483461,876,8023.80419921875
1589862579.448171,882,10069.9833984375
1589863013.458231,890,8648.0673828125
1589863296.245246,896,6765.53076171875
