Wall time,Step,Value
1589827143.763382,5,1.0
1589827357.080165,18,1.0
1589827463.7665775,24,0.0
1589827711.664116,40,1.0
1589827731.4151585,42,0.0
1589827765.9185247,45,1.0
1589827858.9091985,53,0.0
1589827903.1005101,56,0.0
1589828081.5354955,71,1.0
1589828148.7549198,74,1.0
1589828434.139319,94,1.0
1589828642.5650024,102,0.0
1589828703.4094052,105,0.0
1589828749.4200485,106,0.0
1589828893.3315198,113,0.0
1589829060.301274,126,0.0
1589829175.425494,139,0.0
1589829413.455848,150,1.0
1589829505.8079588,155,0.0
1589829571.2345002,158,0.0
1589829727.2424362,167,0.0
1589829895.0925174,178,0.0
1589829956.6564085,183,0.0
1589829988.6307876,185,0.0
1589829994.9498775,186,0.0
1589830032.1826904,190,0.0
1589830084.2246063,198,0.0
1589830201.7751627,206,0.0
1589830216.2179961,207,0.0
1589830270.5793846,212,0.0
1589830406.1481729,223,0.0
1589830526.8740585,229,1.0
1589830648.7208028,234,0.0
1589830885.8569589,249,0.0
1589830933.846642,255,0.0
1589830972.307013,260,0.0
1589831027.4511333,267,0.0
1589831075.7126296,271,0.0
1589831095.9636505,273,0.0
1589831357.3051624,292,0.0
1589831447.3231502,297,0.0
1589831466.4250147,298,0.0
1589831593.2795126,303,0.0
1589831663.9713554,308,0.0
1589831708.3628924,310,0.0
1589831850.2405367,318,0.0
1589831873.5013132,319,0.0
1589832099.6143763,330,0.0
1589832227.0320003,339,1.0
1589832337.9940622,347,1.0
1589832682.870034,363,0.0
1589832734.0574107,367,0.0
1589832928.4151816,377,0.0
1589834121.15557,421,0.0
1589834130.7447808,422,0.0
1589834278.1214886,430,0.0
1589834449.2886314,439,0.0
1589834468.1251123,441,0.0
1589834482.8303537,442,0.0
1589834507.495559,445,0.0
1589834664.7930152,451,0.0
1589834911.7418337,460,0.0
1589834963.8941958,463,0.0
1589834971.1708832,464,0.0
1589835194.480601,474,0.0
1589835753.9067383,491,0.0
1589835808.8143687,493,0.0
1589836253.8052387,512,0.0
1589836286.1523426,514,0.0
1589836379.427038,517,1.0
1589836453.2167027,525,0.0
1589836598.26772,531,0.0
1589836662.5124002,533,0.0
1589836719.151141,536,1.0
1589836813.6610641,542,0.0
1589836967.9374433,547,0.0
1589837240.5286205,557,1.0
1589837403.1658711,563,0.0
1589837490.768991,569,0.0
1589837557.8041186,573,0.0
1589837606.1626024,579,0.0
1589837617.4789226,581,0.0
1589837639.7661452,584,0.0
1589837670.0146875,586,0.0
1589837695.252975,587,0.0
1589837770.5131414,592,0.0
1589837778.1371105,593,0.0
1589837944.0701597,602,0.0
1589838178.7978532,615,0.0
1589838214.1629786,620,0.0
1589838237.927631,622,0.0
1589838373.2910607,634,0.0
1589838484.9400203,641,0.0
1589838493.306674,642,0.0
1589838525.2219296,644,0.0
1589838607.0348372,647,0.0
1589838632.2199645,649,0.0
1589838771.6180692,661,0.0
1589838820.9973779,664,0.0
1589838874.450943,668,0.0
1589838914.0709934,671,0.0
1589838957.5557888,674,0.0
1589839014.6724675,678,0.0
1589839021.4323628,679,0.0
1589839079.0554757,683,0.0
1589839154.4115324,688,0.0
1589839469.2752335,706,0.0
1589839564.307309,714,0.0
1589839696.071743,718,0.0
1589839773.651471,722,0.0
1589839818.406442,723,0.0
1589839981.4040928,730,0.0
1589840262.619031,739,0.0
1589840402.751002,743,0.0
1589840610.3916025,747,1.0
1589840693.9629853,752,0.0
1589840753.2981193,756,0.0
1589840933.3326707,765,1.0
1589841151.847132,769,0.0
1589841189.2829072,770,1.0
1589841237.3020318,771,0.0
1589841330.152506,773,0.0
1589841359.3994646,774,1.0
1589841548.829268,780,0.0
1589841691.511766,784,0.0
1589841734.2517445,785,1.0
1589841781.9067338,787,0.0
1589841940.6888685,792,0.0
1589841949.1925306,793,0.0
1589841982.4182656,794,0.0
1589842103.5236819,798,0.0
1589842262.0686646,802,1.0
1589842442.4305239,807,1.0
1589842469.7212558,808,1.0
1589842517.5153306,809,1.0
1589843005.9602034,832,1.0
1589843063.2821908,836,1.0
1589843089.9343038,838,1.0
1589843161.724144,843,1.0
1589843548.9702559,869,0.0
1589843622.1530447,874,1.0
1589843684.2490053,876,1.0
1589843898.9992077,882,0.0
1589844281.955772,890,1.0
1589844481.1766696,896,0.0
1589844604.1189125,900,1.0
1589844754.65515,907,0.0
1589844770.0431862,909,0.0
1589844907.3122275,915,0.0
1589844931.638831,917,0.0
1589845002.8006709,920,0.0
1589845075.1422954,923,0.0
1589845268.5498612,931,0.0
1589845278.1958413,932,0.0
1589845322.4726708,935,0.0
1589845421.0406187,942,0.0
1589845447.4619653,945,0.0
1589845641.9822664,954,0.0
1589845718.68693,958,0.0
1589845802.601165,961,0.0
1589845820.0509691,962,0.0
1589846130.0564141,971,0.0
1589846177.0920877,972,0.0
1589846286.515716,976,0.0
1589846353.2524917,978,0.0
1589846402.4656324,979,1.0
1589846597.6819098,984,0.0
1589846726.1601734,987,1.0
1589846779.9539187,988,0.0
1589846996.475807,996,0.0
1589847213.978038,1000,0.0
1589847318.6899793,1002,0.0
1589847414.7167854,1005,0.0
