Wall time,Step,Value
1589834617.9663613,5,1.0
1589834769.1024146,18,1.0
1589834817.3446229,24,1.0
1589834998.5398734,40,1.0
1589835016.0095818,42,1.0
1589835054.1088455,45,1.0
1589835160.9879217,53,1.0
1589835191.6425385,56,1.0
1589835371.268915,71,1.0
1589835403.235302,74,1.0
1589835615.1629925,94,1.0
1589835701.781648,102,1.0
1589835752.3828075,106,1.0
1589835932.2497263,126,1.0
1589836026.9094777,139,1.0
1589836103.1761196,150,1.0
1589836151.379409,155,1.0
1589836174.2446623,158,1.0
1589836251.9481108,167,1.0
1589836344.8351781,178,1.0
1589836395.3614516,183,1.0
1589836411.7227216,185,1.0
1589836420.437014,186,1.0
1589836451.6005476,190,1.0
1589836528.2672238,198,1.0
1589836600.7788568,207,1.0
1589836648.4259334,212,1.0
1589836760.8758993,223,1.0
1589836820.9469156,229,1.0
1589836865.7173405,234,1.0
1589837056.1072996,249,1.0
1589837167.320864,255,1.0
1589837213.1762407,260,1.0
1589837340.1426044,267,1.0
1589837401.7454429,271,1.0
1589837423.559284,273,1.0
1589837759.6471994,292,1.0
1589837865.7859888,297,1.0
1589837972.2853916,303,1.0
1589838083.5374162,308,1.0
1589838109.6150188,310,1.0
1589838253.8334262,318,1.0
1589838508.4349222,330,1.0
1589838744.4189126,339,1.0
1589838866.2613757,347,1.0
1589839201.2134342,363,1.0
1589839277.8714309,367,1.0
1589839623.4029112,377,1.0
1589840645.4451993,421,1.0
1589840657.424711,422,1.0
1589841055.9010954,439,1.0
1589841118.5038872,441,1.0
1589841128.513538,442,1.0
1589841190.8203156,445,1.0
1589841524.8706357,460,1.0
1589841601.6352623,463,1.0
1589841618.4792945,464,1.0
1589841842.006323,474,1.0
1589842261.2080688,491,1.0
1589842357.165823,493,0.0
1589842941.9297912,512,1.0
1589842966.6722977,514,1.0
1589843108.3890986,517,0.0
1589843349.9673157,525,0.0
1589843527.8646355,531,0.0
1589843621.9577496,533,0.0
1589843718.402727,536,0.0
1589843923.0706418,542,1.0
1589844146.2210057,547,0.0
1589844479.4415483,557,1.0
1589844691.0317469,563,0.0
1589844870.505147,569,0.0
1589844968.758741,573,1.0
1589845200.503249,579,0.0
1589845290.1713674,581,0.0
1589845455.4904308,586,1.0
1589845467.0771415,587,1.0
1589845685.3808439,593,1.0
1589846085.6062057,602,0.0
1589846817.282373,620,0.0
1589846897.9497285,622,0.0
1589847309.1348767,634,1.0
1589847554.762205,641,0.0
1589847600.583873,642,0.0
1589847664.9178946,644,1.0
1589847797.105081,647,0.0
1589847855.471914,649,1.0
1589848262.3251147,661,0.0
1589848415.0200458,664,1.0
1589848514.2643278,668,1.0
1589848651.1694994,671,0.0
1589848695.793867,674,1.0
1589848879.5265307,678,0.0
1589848931.1153817,679,0.0
1589849063.9688637,683,0.0
1589849179.651139,688,0.0
1589849959.834544,714,1.0
1589850060.3093271,718,1.0
1589850124.2432473,722,1.0
1589850137.469301,723,1.0
1589850302.909017,730,0.0
1589850620.3948648,739,1.0
1589850700.6546957,743,1.0
1589850784.6391497,747,1.0
1589850918.6771445,752,0.0
1589851067.3641067,756,1.0
1589851381.0801408,765,0.0
1589851470.2190292,769,1.0
1589851484.6800058,770,1.0
1589851541.36813,771,0.0
1589851638.5840602,773,0.0
1589851650.4248288,774,1.0
1589851832.341003,780,0.0
1589851943.966532,785,1.0
1589852004.7443824,787,0.0
1589852150.7936943,792,1.0
1589852203.0733194,793,0.0
1589852247.539961,794,0.0
1589852365.3146338,798,1.0
1589852528.1218448,802,0.0
1589852677.029803,807,0.0
1589852706.0812705,808,1.0
1589852763.5347464,809,0.0
1589853663.1117995,832,0.0
1589853820.1650848,836,0.0
1589854883.4398487,869,0.0
1589855104.4303083,874,0.0
1589855165.1185234,876,0.0
1589855427.4949758,882,0.0
1589855633.5114636,890,0.0
1589855897.4101067,896,1.0
1589856024.6745243,900,1.0
1589856269.2134225,907,0.0
1589856340.9676108,909,0.0
1589856709.1977246,915,0.0
1589856768.8979297,917,0.0
1589857213.6242125,931,0.0
1589857266.331187,932,0.0
1589857655.8589494,942,0.0
1589857782.9910028,945,1.0
1589858206.3175004,954,0.0
1589858452.788068,958,0.0
1589858680.4483852,962,0.0
1589859113.473797,971,0.0
1589859178.8684773,972,0.0
1589859418.0205069,978,0.0
1589859432.5447254,979,0.0
1589859711.4303074,984,0.0
1589860136.3163722,996,0.0
1589860305.2683852,1002,0.0
1589860448.8522954,1005,0.0
1589860784.3881798,1014,0.0
1589860963.8815114,1017,0.0
1589861297.168368,1025,1.0
1589861896.5300949,1037,0.0
1589862187.1569006,1044,1.0
1589862720.1004057,1057,0.0
1589862956.1717644,1063,1.0
1589863160.1176598,1066,0.0
