Wall time,Step,Value
1589834618,5,4.909819126
1589834769,18,6.6863451
1589834817,24,5.316497326
1589834999,40,4.995406151
1589835016,42,5.314799786
1589835054,45,6.354727268
1589835161,53,4.910150528
1589835192,56,4.634821892
1589835371,71,4.673122883
1589835403,74,5.385336399
1589835615,94,5.568391323
1589835702,102,4.811051846
1589835752,106,5.445155144
1589835932,126,6.964952469
1589836027,139,5.152563572
1589836103,150,7.378576279
1589836151,155,5.460048199
1589836174,158,11.82043552
1589836252,167,11.93259716
1589836345,178,5.636800289
1589836395,183,8.479974747
1589836412,185,8.833665848
1589836420,186,11.20701981
1589836452,190,11.71673489
1589836528,198,4.854122639
1589836601,207,5.055177212
1589836648,212,4.914358616
1589836761,223,4.704125881
1589836821,229,4.60397625
1589836866,234,4.199223995
1589837056,249,4.71676445
1589837167,255,4.725151539
1589837213,260,4.852388382
1589837340,267,4.363151073
1589837402,271,5.074077129
1589837424,273,4.290810585
1589837760,292,5.045217037
1589837866,297,4.183341026
1589837972,303,4.709871769
1589838084,308,4.969504833
1589838110,310,4.322650909
1589838254,318,5.008107185
1589838508,330,4.305435658
1589838744,339,4.728558064
1589838866,347,4.370447159
1589839201,363,4.351008415
1589839278,367,5.293009281
1589839623,377,3.10019803
1589840645,421,5.020387173
1589840657,422,4.602912426
1589841056,439,4.839705944
1589841119,441,3.725504875
1589841129,442,5.132790565
1589841191,445,4.767286777
1589841525,460,4.954582691
1589841602,463,4.731798649
1589841618,464,4.710170746
1589841842,474,4.469159603
1589842261,491,3.403414488
1589842357,493,4.553111553
1589842942,512,4.977949619
1589842967,514,4.516659737
1589843108,517,4.774030685
1589843350,525,4.769986629
1589843528,531,3.399134398
1589843622,533,4.294667244
1589843718,536,4.703118801
1589843923,542,4.789856911
1589844146,547,4.064593792
1589844479,557,4.54383707
1589844691,563,4.161112785
1589844871,569,4.922422886
1589844969,573,3.371951103
1589845201,579,4.404421806
1589845290,581,4.596351624
1589845455,586,4.349621773
1589845467,587,4.313019753
1589845685,593,4.238106728
1589846086,602,4.659259796
1589846817,620,4.645850182
1589846898,622,5.086178303
1589847309,634,4.417359352
1589847555,641,4.54788065
1589847601,642,4.773311138
1589847665,644,4.312110901
1589847797,647,4.261025906
1589847855,649,4.727831841
1589848262,661,3.798882961
1589848415,664,4.278457642
1589848514,668,4.304664135
1589848651,671,4.291321278
1589848696,674,4.56770134
1589848880,678,4.029707909
1589848931,679,4.293071747
1589849064,683,3.420730114
1589849180,688,4.426020622
1589849960,714,4.986082554
1589850060,718,4.962376595
1589850124,722,4.265585899
1589850137,723,4.697602272
1589850303,730,4.116516113
1589850620,739,3.526849031
1589850701,743,3.074437141
1589850785,747,4.562077522
1589850919,752,3.464556217
1589851067,756,4.428718567
1589851381,765,4.470067501
1589851470,769,4.300292969
1589851485,770,4.499022007
1589851541,771,3.433640718
1589851639,773,4.157513618
1589851650,774,4.859326839
1589851832,780,4.574317455
1589851944,785,4.708327293
1589852005,787,3.79655242
1589852151,792,4.706249237
1589852203,793,2.087154627
1589852248,794,4.130264282
1589852365,798,3.814658403
1589852528,802,4.254073143
1589852677,807,3.883881807
1589852706,808,4.366348743
1589852764,809,4.695627213
1589853663,832,4.146276951
1589853820,836,4.543274403
1589854883,869,4.942494392
1589855104,874,5.206577301
1589855165,876,15.02796841
1589855427,882,9.708621979
1589855634,890,13.05451298
1589855897,896,4.906458855
1589856025,900,4.626483917
1589856269,907,4.826811314
1589856341,909,4.791230202
1589856709,915,4.716954708
1589856769,917,4.085409641
1589857214,931,7.860011578
1589857266,932,4.726295471
1589857656,942,4.535073757
1589857783,945,4.589798927
1589858206,954,5.049015045
1589858453,958,4.342669487
1589858680,962,4.605574608
1589859113,971,4.855281353
1589859179,972,3.360250711
1589859418,978,13.56626511
1589859433,979,7.32793045
1589859711,984,4.763251781
1589860136,996,4.609540462
1589860305,1002,13.0479517
1589860449,1005,4.536401272
1589860784,1014,4.463521481
1589860964,1017,4.561905861
1589861297,1025,4.446997643
1589861897,1037,4.017632484
1589862187,1044,5.074420929
1589862720,1057,10.18899918
1589862956,1063,4.9804883
1589863160,1066,4.778123856
1589863289,1068,4.687402248
1589863528,1072,4.88902235
1589863627,1076,11.93413067
1589863729,1078,4.752096176
1589864015,1083,4.520853519
1589864074,1084,4.580853939
1589864451,1093,4.603939056
1589864727,1099,4.499134064
1589864948,1103,4.642327785
1589865000,1104,4.654091835
1589865422,1114,3.662807703
1589865648,1119,4.56278038
1589866276,1133,4.605310917
1589867277,1155,3.462500334
1589867330,1156,4.512075424
1589867477,1160,3.572462082
1589867531,1161,4.543767929
1589867588,1162,4.133972168
1589868243,1180,4.691572189
1589868726,1192,4.440676689
1589868790,1193,4.337288857
1589869019,1199,4.79214716
1589869136,1201,3.543107033
1589869309,1206,4.61978817
1589870372,1232,4.687999725
1589870469,1234,4.026474953
1589870914,1244,5.011917114
1589871410,1255,4.988331795
1589871559,1258,4.461462975
1589871644,1261,13.15475845
1589872182,1281,4.701681614
1589872450,1287,3.611821175
1589872754,1294,4.087643147
1589872999,1300,4.467763901
1589873260,1310,4.326016903
1589873520,1316,4.132889271
1589873642,1319,4.24660635
1589874043,1327,3.550524235
1589874219,1330,3.646858215
1589874335,1333,4.606491089
1589874431,1336,3.700255156
1589874481,1337,4.199694633
1589875238,1355,3.831944942
1589875881,1370,4.235566616
1589876551,1385,4.489253521
1589876690,1388,3.627347946
1589876742,1389,4.500423431
1589876837,1391,4.401220798
1589876896,1392,4.356474876
1589877819,1414,3.998731613
1589878029,1419,4.18827486
1589878179,1422,4.085553646
1589878362,1426,4.366189957
1589878451,1428,4.344308853
1589878653,1432,4.308290005
1589878801,1436,3.678329229
1589878916,1440,4.088016033
1589879942,1465,4.541395664
1589879997,1466,4.278521061
1589880606,1477,4.260776043
1589881039,1485,4.072849751
1589881089,1486,3.301888466
1589881223,1489,3.615693569
1589881323,1491,4.782880306
1589881845,1501,3.527727604
1589882195,1508,4.120775223
1589882890,1523,3.682447672
1589882949,1524,3.375850439
1589883087,1527,4.320494652
1589883996,1551,3.392139196
