Wall time,Step,Value
1589834618,5,0
1589834769,18,0
1589834817,24,0
1589834999,40,0
1589835016,42,0
1589835054,45,0
1589835161,53,0
1589835192,56,0
1589835371,71,0
1589835403,74,0
1589835615,94,0
1589835702,102,0
1589835752,106,0
1589835932,126,0
1589836027,139,0
1589836103,150,0
1589836151,155,0
1589836174,158,0
1589836252,167,0
1589836345,178,0
1589836395,183,0
1589836412,185,0
1589836420,186,0
1589836452,190,0
1589836528,198,0
1589836601,207,0
1589836648,212,0
1589836761,223,0
1589836821,229,0
1589836866,234,0
1589837056,249,0
1589837167,255,0
1589837213,260,0
1589837340,267,0
1589837402,271,0
1589837424,273,0
1589837760,292,0
1589837866,297,0
1589837972,303,0
1589838084,308,0
1589838110,310,0
1589838254,318,0
1589838508,330,0
1589838744,339,0
1589838866,347,0
1589839201,363,0
1589839278,367,0
1589839623,377,0
1589840645,421,0
1589840657,422,0
1589841056,439,0
1589841119,441,0
1589841129,442,0
1589841191,445,0
1589841525,460,0
1589841602,463,0
1589841618,464,0
1589841842,474,0
1589842261,491,0
1589842357,493,0
1589842942,512,0
1589842967,514,0
1589843108,517,0
1589843350,525,0
1589843528,531,0
1589843622,533,0
1589843718,536,0
1589843923,542,0
1589844146,547,0
1589844479,557,0
1589844691,563,0
1589844871,569,0
1589844969,573,0
1589845201,579,0
1589845290,581,0
1589845455,586,0
1589845467,587,0
1589845685,593,0
1589846086,602,0
1589846817,620,0
1589846898,622,0
1589847309,634,0
1589847555,641,0
1589847601,642,0
1589847665,644,0
1589847797,647,0
1589847855,649,0
1589848262,661,0
1589848415,664,0
1589848514,668,0
1589848651,671,0
1589848696,674,0
1589848880,678,0
1589848931,679,0
1589849064,683,0
1589849180,688,0
1589849960,714,0
1589850060,718,0
1589850124,722,0
1589850137,723,0
1589850303,730,0
1589850620,739,0
1589850701,743,0
1589850785,747,0
1589850919,752,0
1589851067,756,0
1589851381,765,0
1589851470,769,0
1589851485,770,0
1589851541,771,0
1589851639,773,0
1589851650,774,0
1589851832,780,0
1589851944,785,0
1589852005,787,0
1589852151,792,0
1589852203,793,0
1589852248,794,0
1589852365,798,0
1589852528,802,0
1589852677,807,0
1589852706,808,0
1589852764,809,0
1589853663,832,0
1589853820,836,0
1589854883,869,0
1589855104,874,0
1589855165,876,0
1589855427,882,0
1589855634,890,0
1589855897,896,0
1589856025,900,0
1589856269,907,0
1589856341,909,0
1589856709,915,0
1589856769,917,0
1589857214,931,0
1589857266,932,0
1589857656,942,0
1589857783,945,0
1589858206,954,0
1589858453,958,0
1589858680,962,0
1589859113,971,0
1589859179,972,0
1589859418,978,0
1589859433,979,0
1589859711,984,0
1589860136,996,0
1589860305,1002,0
1589860449,1005,0
1589860784,1014,0
1589860964,1017,0
1589861297,1025,0
1589861897,1037,0
1589862187,1044,0
1589862720,1057,0
1589862956,1063,0
1589863160,1066,0
1589863289,1068,0
1589863528,1072,0
1589863627,1076,0
1589863729,1078,0
1589864015,1083,0
1589864074,1084,0
1589864451,1093,0
1589864727,1099,0
1589864948,1103,0
1589865000,1104,0
1589865422,1114,0
1589865648,1119,0
1589866276,1133,0
1589867277,1155,0
1589867330,1156,0
1589867477,1160,0
1589867531,1161,0
1589867588,1162,0
1589868243,1180,0
1589868726,1192,0
1589868790,1193,0
1589869019,1199,0
1589869136,1201,0
1589869309,1206,0
1589870372,1232,0
1589870469,1234,0
1589870914,1244,0
1589871410,1255,0
1589871559,1258,0
1589871644,1261,0
1589872182,1281,0
1589872450,1287,0
1589872754,1294,0
1589872999,1300,0
1589873260,1310,0
1589873520,1316,0
1589873642,1319,0
1589874043,1327,0
1589874219,1330,0
1589874335,1333,0
1589874431,1336,0
1589874481,1337,0
1589875238,1355,0
1589875881,1370,0
1589876551,1385,0
1589876690,1388,0
1589876742,1389,0
1589876837,1391,0
1589876896,1392,0
1589877819,1414,0
1589878029,1419,0
1589878179,1422,0
1589878362,1426,0
1589878451,1428,0
1589878653,1432,0
1589878801,1436,0
1589878916,1440,0
1589879942,1465,0
1589879997,1466,0
1589880606,1477,0
1589881039,1485,0
1589881089,1486,0
1589881223,1489,0
1589881323,1491,0
1589881845,1501,0
1589882195,1508,0
1589882890,1523,0
1589882949,1524,0
1589883087,1527,0
1589883996,1551,0
1589884048,1552,0
1589884126,1554,0
1589884734,1568,0
1589884787,1569,0
1589885248,1578,0
1589885503,1584,0
1589885630,1588,0
1589886078,1597,0
1589886389,1604,0
1589886443,1605,0
1589886709,1610,0
1589887116,1618,0
1589887586,1627,0
1589887751,1632,0
1589887930,1637,0
1589888068,1640,0
1589888358,1645,0
1589888475,1648,0
1589888654,1652,0
1589889025,1660,0
1589889376,1668,0
1589889734,1675,0
1589890053,1682,0
1589890405,1691,0
1589890646,1695,0
1589890688,1696,0
1589890700,1697,1
1589890797,1699,0
1589890975,1702,0
1589891292,1709,0
1589891760,1718,0
1589892309,1728,0
1589892480,1732,0
1589892510,1734,0
1589892592,1737,0
1589892732,1742,0
1589892879,1745,0
1589892922,1746,0
1589892961,1747,0
1589893239,1752,0
1589893903,1766,0
1589894347,1775,0
1589894596,1781,0
1589894920,1788,0
1589894954,1789,0
1589895380,1798,0
1589895642,1805,0
1589896135,1817,0
1589896560,1826,0
1589896799,1830,0
1589897270,1840,0
1589897456,1844,0
1589897710,1849,0
1589897895,1853,0
1589898511,1866,0
1589898659,1869,0
1589898993,1875,0
1589899053,1876,0
