Wall time,Step,Value
1589834618,5,1639.842773
1589834769,18,2359.343262
1589834817,24,1360.51709
1589834999,40,2289.350342
1589835016,42,1136.179565
1589835054,45,2101.700195
1589835161,53,1973.948364
1589835192,56,1265.296631
1589835371,71,1239.138794
1589835403,74,1811.722534
1589835615,94,2039.300781
1589835702,102,1822.12561
1589835752,106,1473.395752
1589835932,126,738.2887573
1589836027,139,742.3165283
1589836103,150,1217.823242
1589836151,155,2158.820801
1589836174,158,1050.694092
1589836252,167,1685.30957
1589836345,178,857.3042603
1589836395,183,948.2463989
1589836412,185,1228.173706
1589836420,186,1254.981201
1589836452,190,863.8964844
1589836528,198,1238.256714
1589836601,207,1782.644775
1589836648,212,2203.69043
1589836761,223,2397.676758
1589836821,229,2253.119629
1589836866,234,1358.650391
1589837056,249,1072.456543
1589837167,255,1267.851807
1589837213,260,1216.091431
1589837340,267,7788.773438
1589837402,271,3677.368896
1589837424,273,1958.496338
1589837760,292,1276.070679
1589837866,297,4729.254883
1589837972,303,6594.489746
1589838084,308,1061.406494
1589838110,310,1973.445801
1589838254,318,1767.401489
1589838508,330,4099.95459
1589838744,339,947.4794312
1589838866,347,1456.438965
1589839201,363,8242.633789
1589839278,367,1403.451782
1589839623,377,6083.634277
1589840645,421,1400.199463
1589840657,422,2588.195068
1589841056,439,1182.004761
1589841119,441,6931.204102
1589841129,442,1736.29895
1589841191,445,1795.15979
1589841525,460,1884.756958
1589841602,463,1842.720947
1589841618,464,2227.807617
1589841842,474,1074.338745
1589842261,491,6046.895508
1589842357,493,11019.79199
1589842942,512,1339.739624
1589842967,514,1169.274658
1589843108,517,7029.46875
1589843350,525,7880.616211
1589843528,531,8933.616211
1589843622,533,9190.710938
1589843718,536,7889.236328
1589843923,542,5827.492188
1589844146,547,8554.739258
1589844479,557,1162.28064
1589844691,563,9701.621094
1589844871,569,8602.886719
1589844969,573,1565.869873
1589845201,579,8386.118164
1589845290,581,9014.578125
1589845455,586,1389.429688
1589845467,587,926.2540283
1589845685,593,1160.434448
1589846086,602,8326.672852
1589846817,620,8112.541016
1589846898,622,7291.615723
1589847309,634,7137.293945
1589847555,641,7712.911133
1589847601,642,8122.596191
1589847665,644,1533.818604
1589847797,647,8868.010742
1589847855,649,1355.857178
1589848262,661,9859.231445
1589848415,664,8456.774414
1589848514,668,1873.882446
1589848651,671,10116.90332
1589848696,674,1672.279175
1589848880,678,9766.175781
1589848931,679,10024.75488
1589849064,683,8715.313477
1589849180,688,10653.44727
1589849960,714,903.4996338
1589850060,718,1328.348633
1589850124,722,1561.203979
1589850137,723,1373.586792
1589850303,730,9667.389648
1589850620,739,3369.936768
1589850701,743,2154.273438
1589850785,747,1660.594604
1589850919,752,10604.52051
1589851067,756,902.0117188
1589851381,765,11405.24414
1589851470,769,1443.006226
1589851485,770,1146.516479
1589851541,771,11997.75879
1589851639,773,10807.9248
1589851650,774,1598.708862
1589851832,780,9444.583984
1589851944,785,813.3174438
1589852005,787,9064.5625
1589852151,792,1480.541748
1589852203,793,11555.03223
1589852248,794,9556.113281
1589852365,798,7315.961914
1589852528,802,11153.86523
1589852677,807,11495.76563
1589852706,808,5252.788574
1589852764,809,12812.75488
1589853663,832,10303.93848
1589853820,836,8654.517578
1589854883,869,10477.49219
1589855104,874,9517.970703
1589855165,876,2046.043823
1589855427,882,2086.736084
1589855634,890,2926.146729
1589855897,896,2316.7146
1589856025,900,1971.766357
1589856269,907,9282.561523
1589856341,909,9168.873047
1589856709,915,9102.964844
1589856769,917,8881.610352
1589857214,931,2290.994873
1589857266,932,9456.576172
1589857656,942,10471.46973
1589857783,945,1947.149292
1589858206,954,7586.209961
1589858453,958,16697.5957
1589858680,962,10010.27344
1589859113,971,10987.99902
1589859179,972,10732.87891
1589859418,978,2025.394287
1589859433,979,3593.957764
1589859711,984,9242.338867
1589860136,996,8924.000977
1589860305,1002,2647.981689
1589860449,1005,11010.68945
1589860784,1014,9994.188477
1589860964,1017,10637.17871
1589861297,1025,2048.285156
1589861897,1037,7982.092285
1589862187,1044,978.3907471
1589862720,1057,3196.251709
1589862956,1063,10393.28809
1589863160,1066,10674.18945
1589863289,1068,11638.06543
1589863528,1072,9115.172852
1589863627,1076,2056.584717
1589863729,1078,9390.902344
1589864015,1083,9488.837891
1589864074,1084,10095.18848
1589864451,1093,10933.19141
1589864727,1099,10267.60254
1589864948,1103,12080.69824
1589865000,1104,9089.144531
1589865422,1114,1456.799561
1589865648,1119,11397.8125
1589866276,1133,11502.17676
1589867277,1155,9551.001953
1589867330,1156,11145.30371
1589867477,1160,10475.78223
1589867531,1161,10609.62402
1589867588,1162,10012.99219
1589868243,1180,12069.71973
1589868726,1192,13638.88184
1589868790,1193,12919.23633
1589869019,1199,10735.2207
1589869136,1201,10445.94727
1589869309,1206,12858.55762
1589870372,1232,8315.267578
1589870469,1234,9763.789063
1589870914,1244,11564.50781
1589871410,1255,4275.192871
1589871559,1258,12288.24805
1589871644,1261,2026.926636
1589872182,1281,8877.412109
1589872450,1287,2255.663574
1589872754,1294,11263.00879
1589872999,1300,9513.087891
1589873260,1310,2678.856445
1589873520,1316,12885.29004
1589873642,1319,19235.76953
1589874043,1327,21368.28125
1589874219,1330,16594.51172
1589874335,1333,1900.237427
1589874431,1336,9901.342773
1589874481,1337,9193.744141
1589875238,1355,15268.68066
1589875881,1370,15454.31738
1589876551,1385,7916.672363
1589876690,1388,9394.401367
1589876742,1389,9006.432617
1589876837,1391,17582.32031
1589876896,1392,17123.96484
1589877819,1414,13956.45703
1589878029,1419,16408.69531
1589878179,1422,8971.733398
1589878362,1426,6848.305664
1589878451,1428,16294.37695
1589878653,1432,15251.15723
1589878801,1436,15100.89355
1589878916,1440,10146.12793
1589879942,1465,19008
1589879997,1466,18616.12109
1589880606,1477,17943.31641
1589881039,1485,13388.79102
1589881089,1486,14128.87305
1589881223,1489,10971.27441
1589881323,1491,15995.12695
1589881845,1501,16664.62109
1589882195,1508,15262.30078
1589882890,1523,17785.07813
1589882949,1524,18870.74219
1589883087,1527,2111.589844
1589883996,1551,6994.997559
1589884048,1552,16604.14258
1589884126,1554,9139.439453
1589884734,1568,13908.86719
1589884787,1569,10590.66699
1589885248,1578,13624.8457
1589885503,1584,13407.98828
1589885630,1588,12891.61816
1589886078,1597,9082.854492
1589886389,1604,6076.797852
1589886443,1605,16257.43555
1589886709,1610,16240.73828
1589887116,1618,14043.41504
1589887586,1627,13947.6416
1589887751,1632,2867.544189
1589887930,1637,2732.470947
1589888068,1640,13006.9375
1589888358,1645,14099.10742
1589888475,1648,11274.78027
1589888654,1652,10912.88672
1589889025,1660,14723.68359
1589889376,1668,1648.654541
1589889734,1675,11548.48047
1589890053,1682,10443.3584
1589890405,1691,3448.175049
1589890646,1695,11403.97266
1589890688,1696,10730.37012
1589890700,1697,1759.442505
1589890797,1699,11453.35645
1589890975,1702,15569.25488
1589891292,1709,12432.83203
1589891760,1718,12839.58301
1589892309,1728,14286.6582
1589892480,1732,13690.87695
1589892510,1734,3622.893066
1589892592,1737,4123.163086
1589892732,1742,12025.24609
1589892879,1745,4981.357422
1589892922,1746,10601.67676
1589892961,1747,8921.170898
1589893239,1752,16127.04492
1589893903,1766,12970.94531
1589894347,1775,5986.348145
1589894596,1781,11935.85059
1589894920,1788,1342.681519
1589894954,1789,4742.596191
1589895380,1798,7786.915039
1589895642,1805,4213.076172
1589896135,1817,8000.786621
1589896560,1826,14721.49023
1589896799,1830,12100.6582
1589897270,1840,10180.3125
1589897456,1844,13910.66992
1589897710,1849,11867.89355
1589897895,1853,12097.02148
1589898511,1866,2922.355957
1589898659,1869,11182.01855
1589898993,1875,11690.0293
1589899053,1876,10055.33398
1589899078,1877,2557.22168
1589900872,1911,13468.68164
1589901162,1917,10647.44336
1589901493,1924,10165.44824
1589901691,1930,760.4891968
1589901850,1934,11026.16895
1589901912,1936,1810.473877
1589901984,1938,8768.90918
1589902273,1944,9008.891602
1589902384,1947,11908.75098
1589902479,1949,9786.745117
1589902660,1952,13467.37305
1589903521,1967,11693.11719
1589903605,1969,8108.288574
1589904276,1981,2080.446045
1589904303,1982,2572.574463
1589904379,1983,14748.6582
1589905159,1997,9755.893555
1589905379,2001,9819.989258
1589905592,2005,10708.09961
1589905944,2013,10774.69336
1589906134,2017,5927.277344
1589906530,2025,10632.9375
1589906630,2027,10942.06152
1589906798,2030,10074.87305
1589906970,2033,11777.53711
1589907139,2036,2206.669678
1589907478,2041,13537.91406
1589908332,2060,6730.874023
1589908970,2072,11885.29492
1589908988,2073,1289.858398
1589909149,2076,8276.193359
1589909203,2077,11105.04004
1589909302,2079,6936.62793
1589909416,2081,6466.739258
1589909650,2085,10506.09277
1589909840,2089,6742.145996
1589910093,2094,2206.18335
1589910212,2096,10798.66211
1589910995,2111,9505.022461
1589911241,2115,9043.233398
1589911618,2122,11061.29102
1589912615,2141,1240.089233
1589912750,2144,6753.335449
1589912791,2145,2201.603027
1589912948,2149,2498.438477
1589913063,2151,9015.272461
1589913292,2156,5483.513184
1589913772,2165,11659.54102
1589913978,2169,9965.523438
1589914103,2171,9717.450195
1589914184,2173,1379.617676
1589914375,2177,9733.500977
1589914908,2187,1537.291382
1589915038,2189,10248.26074
1589915153,2191,10460.45801
1589915225,2192,11467.93848
1589915462,2196,9863.054688
1589915609,2199,8990.832031
1589916140,2207,10018.32129
1589916397,2211,10647.35254
1589917187,2225,9300.950195
1589917408,2229,11440.31934
1589917537,2231,10368.61914
1589917885,2236,7925.602539
1589917949,2237,9196.642578
1589918075,2239,9630.388672
1589918293,2242,11914.05566
1589918442,2244,10191.02344
1589918580,2246,10772.62598
1589918654,2247,9777.173828
1589919120,2254,11688.19824
1589919296,2257,12309.22754
1589919593,2262,2976.953125
1589920809,2281,6253.771973
1589921620,2291,11655.39355
1589922042,2297,10331.20215
1589922414,2303,8933.830078
1589922620,2307,2285.184326
1589922676,2308,8335.730469
1589923406,2319,10938.37793
1589923484,2320,12919.86523
1589923622,2322,11028.50195
1589924482,2335,12246.86035
1589925101,2345,9505.244141
1589925587,2354,3759.031494
1589926696,2371,8788.974609
1589927868,2389,9591.617188
1589927932,2390,8962.724609
1589928056,2392,8105.159668
1589928546,2400,10573.66504
1589928700,2402,9191.202148
1589928940,2406,4313.743164
1589929569,2416,5806.823242
1589930038,2424,2060.736084
1589930103,2425,6927.428223
1589930700,2436,1097.418701
1589931262,2444,5196.629883
1589931648,2450,6214.90625
1589931735,2451,9906.350586
1589931901,2453,9216.436523
1589932041,2455,9747.055664
1589932411,2460,9621.873047
1589934050,2485,6650.885742
1589934099,2486,12573.5127
1589934467,2496,2048.479736
1589934559,2498,12466.80664
1589934678,2502,12090.78613
1589934687,2503,2016.574585
1589935130,2517,10612.63281
1589935334,2523,2938.322998
1589935482,2528,10976.96582
1589935566,2530,10036.80273
1589935641,2532,9618.494141
1589935678,2534,1737.5271
1589936147,2547,10599.35254
1589936357,2551,13889.63672
1589936407,2553,6064.964844
1589936504,2556,3908.460205
1589936854,2565,13600.80078
1589936895,2566,9614.007813
1589937279,2576,10497.54688
